,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,nationality,currentrank,prevyearrank,sport,year,earnings
0,0,0,0,Mike Tyson,USA,1,,boxing,1990,28.6
1,1,1,1,Buster Douglas,USA,2,,boxing,1990,26.0
2,2,2,2,Sugar Ray Leonard,USA,3,,boxing,1990,13.0
3,3,3,3,Ayrton Senna,Brazil,4,,auto racing,1990,10.0
4,4,4,4,Alain Prost,France,5,,auto racing,1990,9.0
5,5,5,5,Jack Nicklaus,USA,6,,golf,1990,8.6
6,6,6,6,Greg Norman,Australia,7,,golf,1990,8.5
7,7,7,7,Michael Jordan,USA,8,,basketball,1990,8.1
8,8,8,8,Arnold Palmer,USA,8,,golf,1990,8.1
9,9,9,9,Evander Holyfield,USA,8,,boxing,1990,8.1
10,10,10,10,Evander Holyfield,USA,1,8,boxing,1991,60.5
11,11,11,11,Mike Tyson,USA,2,1,boxing,1991,31.5
12,12,12,12,Michael Jordan,USA,3,8,basketball,1991,16.0
13,13,13,13,George Foreman,USA,4,>30,boxing,1991,14.5
14,14,14,14,Ayrton Senna,Brazil,5,4,auto racing,1991,13.0
15,15,15,15,Alain Prost,France,6,5,auto racing,1991,11.0
16,16,16,16,"Donovan ""Razor"" Ruddock",Canada,7,>30,boxing,1991,10.2
17,17,17,17,Arnold Palmer,USA,8,8,golf,1991,9.3
18,18,18,18,Nigel Mansell,UK,9,12,auto racing,1991,9.0
19,19,19,19,Sugar Ray Leonard,USA,10,6,golf,1991,8.5
20,20,20,20,Michael Jordan,USA,1,3,Basketball,1992,35.9
21,21,21,21,Evander Holyfield,USA,2,1,Boxing,1992,28.0
22,22,22,22,Ayrton Senna,Brazil,3,5,Auto Racing,1992,22.0
23,23,23,23,Nigel Mansell,UK,4,9,Auto Racing,1992,14.5
24,24,24,24,Arnold Palmer,USA,5,8,Golf,1992,11.1
25,25,25,25,Andre Agassi,USA,6,17,Tennis,1992,11.0
26,26,26,26,Joe Montana,USA,7,13,NFL,1992,9.5
27,27,27,27,Sugar Ray Leonard,USA,8,10,Golf,1992,9.2
28,28,28,28,Jim Courier,USA,9,>40,Tennis,1992,9.0
29,29,29,29,Monica Seles,USA,10,12,Tennis,1992,8.5
30,30,30,30,Michael Jordan,USA,1,1,Basketball,1993,36.0
31,31,31,31,Riddick Bowe,USA,2,>40,Boxing,1993,25.0
32,32,32,32,Ayrton Senna,Brazil,3,3,Auto racing,1993,18.5
33,33,33,33,Alain Prost,France,4,>40,Auto Racing,1993,16.0
34,34,34,34,George Foreman,USA,5,19,Boxing,1993,15.8
35,35,35,35,Shaquille O'Neal,USA,6,>40,NBA,1993,15.2
36,36,36,36,Lennox Lewis,USA,7,>40,Boxing,1993,15.0
